"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests","test_base_tool","TestBaseAction","","","test_run_with_no_arguments","Test that _run handles calls without arguments correctly."
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","1","src.tests.ado.repos","test_unit_ado_repos","TestReposToolsPositive","","","test_list_pull_request_diffs_non_edit_change",""
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests.ado.wiki","test_unit_ado_wiki","TestWikiApiWrapperExceptions","","","test_modify_wiki_page_logs_general_error","Test logger accurately logs general errors."
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","0","src.tests.ado.test_plan","test_unit_ado_test_plan","TestPlanApiWrapperNegative","","","test_create_test_suite_invalid_json","Test create test suite with invalid json."
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests.ado.work_item","test_unit_ado_wrapper","TestAdoWorkItemWrapper","","","test_create_work_item_missing_fields","Test create_work_item with JSON missing 'fields' key."
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","0","src.tests.ado.test_plan","test_unit_ado_test_plan","TestPlanApiWrapperValidateToolkit","","","test_run_tool[delete_test_suite-delete_test_suite]",""
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","2","src.tests.ado.repos","test_unit_ado_repos","TestReposToolsPositive","","","test_update_file_success_check_push_arguments",""
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests","test_elitea_base_tool","TestBaseToolApiWrapper","","","test_run_valid_mode_with_args","Test that `run` successfully passes arguments to the tool."
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","0","src.tests.ado.repos","test_unit_ado_repos","TestReposApiWrapperValidateToolkit","","","test_validate_toolkit_missing_parameters_project[repository_id]",""
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","1","src.tests.ado.test_plan","test_unit_ado_test_plan","TestPlanApiWrapperPositive","","","test_get_test_plan_by_id_success","Test successful getting of a test plan by id."
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","0","src.tests.ado.test_plan","test_unit_ado_test_plan","TestPlanApiWrapperValidateToolkit","","","test_run_tool[create_test_plan-create_test_plan]",""
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","1","src.tests.ado.repos","test_unit_ado_repos","TestReposApiWrapperValidateToolkit","","","test_run_tool[update_file-update_file]",""
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","1","src.tests.ado.repos","test_unit_ado_repos","TestReposToolsPositive","","","test_list_pull_request_diffs_success",""
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","1","src.tests.sharepoint","test_sharepoin_utils","TestSharepointReadDocxFromBytes","","","test_read_docx_from_bytes_invalid_format","Test behavior with invalid file content."
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests.gitlab","test_gitlab_utils","TestGitlabUtilsGetPosition","","","test_get_position_positive","Test successful retrieval of position."
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","0","src.tests.ado.repos","test_unit_ado_repos","TestReposToolsNegative","","","test_create_file_already_exists",""
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","0","src.tests.ado.test_plan","test_unit_ado_test_plan","TestPlanApiWrapperNegative","","","test_delete_test_plan_api_error","Test deletion of a test plan with exception."
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","27","src.tests.sharepoint","test_sharepoin_utils","TestSharepointReadDocxFromBytes","","","test_read_docx_from_bytes_empty_file","Test behavior with an empty .docx file."
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests.gitlab","test_gitlab_utils","TestGitlabUtilsGetDiffWPosition","","","test_empty_diff","Test behavior when diff is empty."
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","1","src.tests.ado.wiki","test_unit_ado_wiki","TestWikiApiWrapperExceptions","","","test_delete_page_by_id_logs_error","Test logger called when deletion fails due to an API error."
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests.sharepoint","test_sharepoin_utils","TestSharepointReadDocxFromBytes","","","test_read_docx_from_bytes_none_input","Test behavior when input is None."
"passed","Tue Apr 01 09:26:09 GMT 2025","Tue Apr 01 09:26:09 GMT 2025","1","src.tests.ado.repos","test_unit_ado_repos","TestReposToolsPositive","","","test_update_file_success",""
"passed","Tue Apr 01 09:26:11 GMT 2025","Tue Apr 01 09:26:11 GMT 2025","0","src.tests","test_base_tool","TestBaseAction","","","test_run_with_missing_name","Test that _run handles a missing name gracefully."
